Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,Championship,Player_Team
Marcos André,BRA,DF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Marcos André (athletico-pr)
Ataíde,BRA,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Ataíde (athletico-pr)
Lucas Belezi,BRA,DF,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Lucas Belezi (athletico-pr)
Derik,BRA,DF,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Derik (athletico-pr)
Dudu,BRA,MF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Dudu (athletico-pr)
Emersonn,BRA,FW,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Emersonn (athletico-pr)
Julimar,BRA,FW,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Julimar (athletico-pr)
Mycael,BRA,GK,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Mycael (athletico-pr)
Gabriel Pereira,BRA,GK,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Gabriel Pereira (athletico-pr)
João Vitor,BRA,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,João Vitor (athletico-pr)
Arthur Zanella,BRA,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,athletico-pr,Brasileiro,Arthur Zanella (athletico-pr)
Éverson,BRA,GK,33,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,atletico-mg,Brasileiro,Éverson (atletico-mg)
Paulinho,BRA,"FW,MF",23,32,31,2659.0,29.5,17.0,1.0,18.0,17.0,0.0,0.0,1.0,0.0,13.6,13.6,1.7,15.4,85.0,65.0,210.0,0.58,0.03,0.61,0.58,0.61,0.46,0.06,0.52,0.46,0.52,atletico-mg,Brasileiro,Paulinho (atletico-mg)
Hulk,BRA,FW,37,30,29,2582.0,28.7,13.0,8.0,21.0,8.0,5.0,5.0,8.0,1.0,10.9,7.4,5.4,12.8,76.0,95.0,179.0,0.45,0.28,0.73,0.28,0.56,0.38,0.19,0.57,0.26,0.45,atletico-mg,Brasileiro,Hulk (atletico-mg)
Jemerson,BRA,DF,31,29,24,2206.0,24.5,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.5,0.5,0.1,0.6,20.0,62.0,5.0,0.0,0.04,0.04,0.0,0.04,0.02,0.01,0.03,0.02,0.03,atletico-mg,Brasileiro,Jemerson (atletico-mg)
Mauricio Lemos,URU,DF,27,25,23,2079.0,23.1,1.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,1.1,1.1,0.0,1.1,17.0,70.0,2.0,0.04,0.0,0.04,0.04,0.04,0.05,0.0,0.05,0.05,0.05,atletico-mg,Brasileiro,Mauricio Lemos (atletico-mg)
Guilherme Arana,BRA,DF,26,24,23,2033.0,22.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9,0.9,1.0,1.9,49.0,124.0,108.0,0.04,0.0,0.04,0.04,0.04,0.04,0.05,0.08,0.04,0.08,atletico-mg,Brasileiro,Guilherme Arana (atletico-mg)
Otávio,BRA,MF,29,23,23,1971.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.4,0.7,12.0,125.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.02,0.03,atletico-mg,Brasileiro,Otávio (atletico-mg)
Cristian Pavón,ARG,"FW,MF",27,29,20,1797.0,20.0,3.0,6.0,9.0,2.0,1.0,1.0,7.0,0.0,4.1,3.3,3.3,6.6,82.0,60.0,216.0,0.15,0.3,0.45,0.1,0.4,0.2,0.17,0.37,0.16,0.33,atletico-mg,Brasileiro,Cristian Pavón (atletico-mg)
Rodrigo Battaglia,ARG,MF,32,22,19,1728.0,19.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.9,0.9,0.4,1.3,38.0,80.0,27.0,0.0,0.05,0.05,0.0,0.05,0.05,0.02,0.07,0.05,0.07,atletico-mg,Brasileiro,Rodrigo Battaglia (atletico-mg)
Federico Zaracho,ARG,"MF,FW",25,24,19,1702.0,18.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.8,1.8,1.6,3.4,13.0,59.0,63.0,0.05,0.05,0.11,0.05,0.11,0.1,0.08,0.18,0.1,0.18,atletico-mg,Brasileiro,Federico Zaracho (atletico-mg)
Renzo Saravia,ARG,DF,30,24,18,1578.0,17.5,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.5,0.5,0.9,1.3,36.0,69.0,63.0,0.0,0.11,0.11,0.0,0.11,0.03,0.05,0.08,0.03,0.08,atletico-mg,Brasileiro,Renzo Saravia (atletico-mg)
Mariano,BRA,DF,37,19,15,1335.0,14.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.5,13.0,81.0,23.0,0.0,0.07,0.07,0.0,0.07,0.0,0.03,0.03,0.0,0.03,atletico-mg,Brasileiro,Mariano (atletico-mg)
Rubens,BRA,"DF,MF",22,20,14,1232.0,13.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,1.1,1.6,35.0,52.0,82.0,0.0,0.07,0.07,0.0,0.07,0.04,0.08,0.12,0.04,0.12,atletico-mg,Brasileiro,Rubens (atletico-mg)
Igor Gomes,BRA,"MF,FW",24,25,13,1171.0,13.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,2.4,4.1,30.0,62.0,75.0,0.15,0.08,0.23,0.15,0.23,0.13,0.18,0.31,0.13,0.31,atletico-mg,Brasileiro,Igor Gomes (atletico-mg)
Bruno Fuchs,BRA,DF,24,15,13,1088.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,atletico-mg,Brasileiro,Bruno Fuchs (atletico-mg)
Hyoran,BRA,"MF,FW",30,12,12,691.0,7.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.1,2.1,3.1,5.2,16.0,35.0,30.0,0.26,0.0,0.26,0.26,0.26,0.28,0.4,0.68,0.28,0.68,atletico-mg,Brasileiro,Hyoran (atletico-mg)
Edenílson,BRA,"MF,FW",33,24,11,1052.0,11.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.8,2.0,20.0,44.0,42.0,0.0,0.17,0.17,0.0,0.17,0.02,0.15,0.17,0.02,0.17,atletico-mg,Brasileiro,Edenílson (atletico-mg)
Alan Franco,ECU,"MF,FW",25,14,9,787.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,4.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,atletico-mg,Brasileiro,Alan Franco (atletico-mg)
Pedrinho,BRA,"MF,FW",25,14,6,605.0,6.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.4,1.7,15.0,66.0,33.0,0.0,0.3,0.3,0.0,0.3,0.04,0.21,0.25,0.04,0.25,atletico-mg,Brasileiro,Pedrinho (atletico-mg)
Igor Rabello,BRA,DF,28,8,5,467.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.1,0.1,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,atletico-mg,Brasileiro,Igor Rabello (atletico-mg)
Eduardo Vargas,CHI,FW,34,12,4,470.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,1.4,6.0,11.0,25.0,0.19,0.0,0.19,0.19,0.19,0.05,0.21,0.26,0.05,0.26,atletico-mg,Brasileiro,Eduardo Vargas (atletico-mg)
Nathan Silva,BRA,DF,26,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.5,4.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.11,0.04,0.11,atletico-mg,Brasileiro,Nathan Silva (atletico-mg)
Patrick,BRA,"MF,FW",31,21,2,548.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.0,2.0,20.0,21.0,54.0,0.0,0.0,0.0,0.0,0.0,0.16,0.17,0.33,0.16,0.33,atletico-mg,Brasileiro,Patrick (atletico-mg)
Alan Kardec,BRA,"FW,MF",34,13,2,241.0,2.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.8,1.7,2.0,5.0,6.0,0.37,0.37,0.75,0.37,0.75,0.34,0.29,0.63,0.34,0.63,atletico-mg,Brasileiro,Alan Kardec (atletico-mg)
Matheus Mendes,BRA,GK,24,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,atletico-mg,Brasileiro,Matheus Mendes (atletico-mg)
Dodô,BRA,DF,31,1,1,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,atletico-mg,Brasileiro,Dodô (atletico-mg)
Alisson,BRA,"MF,DF",18,4,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.39,0.42,0.03,0.42,atletico-mg,Brasileiro,Alisson (atletico-mg)
Réver,BRA,"DF,FW",38,8,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,atletico-mg,Brasileiro,Réver (atletico-mg)
Isaac,BRA,FW,19,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,0.0,0.53,atletico-mg,Brasileiro,Isaac (atletico-mg)
Paulo Vitor,BRA,MF,19,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,atletico-mg,Brasileiro,Paulo Vitor (atletico-mg)
Carlos Eduardo,BRA,"MF,FW",19,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,atletico-mg,Brasileiro,Carlos Eduardo (atletico-mg)
Gabriel Delfim,BRA,GK,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,atletico-mg,Brasileiro,Gabriel Delfim (atletico-mg)
Rômulo,BRA,DF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,atletico-mg,Brasileiro,Rômulo (atletico-mg)
Marcos Felipe,BRA,GK,27,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bahia,Brasileiro,Marcos Felipe (bahia)
Thaciano,BRA,"MF,FW",28,31,31,2561.0,28.5,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,7.0,7.0,1.7,8.7,30.0,105.0,110.0,0.11,0.11,0.21,0.11,0.21,0.25,0.06,0.31,0.25,0.31,bahia,Brasileiro,Thaciano (bahia)
Kanu,BRA,DF,26,29,29,2554.0,28.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,1.5,1.5,0.5,2.1,27.0,89.0,7.0,0.04,0.0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,bahia,Brasileiro,Kanu (bahia)
Rezende,BRA,"MF,DF",28,29,28,2360.0,26.2,1.0,2.0,3.0,1.0,0.0,0.0,9.0,1.0,0.8,0.8,1.0,1.8,23.0,89.0,33.0,0.04,0.08,0.11,0.04,0.11,0.03,0.04,0.07,0.03,0.07,bahia,Brasileiro,Rezende (bahia)
Cauly Oliveira Souza,BRA,"MF,FW",28,28,26,2193.0,24.4,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,4.2,4.2,4.9,9.1,94.0,166.0,162.0,0.08,0.21,0.29,0.08,0.29,0.17,0.2,0.37,0.17,0.37,bahia,Brasileiro,Cauly Oliveira Souza (bahia)
Everaldo Stum,BRA,FW,32,31,24,2054.0,22.8,8.0,1.0,9.0,7.0,1.0,1.0,6.0,0.0,5.8,5.1,2.5,7.5,33.0,54.0,127.0,0.35,0.04,0.39,0.31,0.35,0.26,0.11,0.36,0.22,0.33,bahia,Brasileiro,Everaldo Stum (bahia)
Vitor Hugo,BRA,DF,32,23,23,1814.0,20.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.5,1.1,20.0,79.0,2.0,0.05,0.0,0.05,0.05,0.05,0.03,0.03,0.05,0.03,0.05,bahia,Brasileiro,Vitor Hugo (bahia)
Ademir Santos,BRA,"FW,MF",28,29,19,1655.0,18.4,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,5.5,5.5,2.1,7.6,77.0,68.0,165.0,0.16,0.05,0.22,0.16,0.22,0.3,0.11,0.41,0.3,0.41,bahia,Brasileiro,Ademir Santos (bahia)
Nicolás Acevedo,URU,MF,24,27,17,1680.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.9,0.9,0.6,1.4,24.0,102.0,33.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,bahia,Brasileiro,Nicolás Acevedo (bahia)
Gilberto,BRA,DF,30,17,17,1502.0,16.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,1.3,1.7,50.0,100.0,78.0,0.06,0.12,0.18,0.06,0.18,0.03,0.08,0.1,0.03,0.1,bahia,Brasileiro,Gilberto (bahia)
Camilo Cándido,URU,DF,28,17,15,1212.0,13.5,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,1.3,1.6,18.0,57.0,86.0,0.07,0.15,0.22,0.07,0.22,0.03,0.09,0.12,0.03,0.12,bahia,Brasileiro,Camilo Cándido (bahia)
Yago,BRA,MF,28,23,14,1221.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.6,1.0,10.0,50.0,32.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,bahia,Brasileiro,Yago (bahia)
Gabriel Teixeira,BRA,"FW,MF",22,21,11,1046.0,11.6,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,4.7,4.7,2.7,7.4,40.0,49.0,83.0,0.43,0.09,0.52,0.43,0.52,0.41,0.23,0.64,0.41,0.64,bahia,Brasileiro,Gabriel Teixeira (bahia)
Gabriel,BRA,DF,22,13,10,977.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,9.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,bahia,Brasileiro,Gabriel (bahia)
David Duarte,BRA,DF,28,9,9,772.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.3,1.0,15.0,0.0,0.12,0.0,0.12,0.12,0.12,0.03,0.0,0.03,0.03,0.03,bahia,Brasileiro,David Duarte (bahia)
Cicinho,BUL,DF,34,11,9,734.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.3,0.8,17.0,24.0,35.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.1,0.05,0.1,bahia,Brasileiro,Cicinho (bahia)
Rafael Ratão,BRA,"FW,MF",27,16,8,769.0,8.5,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,2.8,2.8,0.9,3.7,13.0,38.0,60.0,0.47,0.12,0.59,0.47,0.59,0.33,0.11,0.44,0.33,0.44,bahia,Brasileiro,Rafael Ratão (bahia)
Vinicius Mingotti,BRA,FW,23,16,8,647.0,7.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.9,1.9,0.4,2.3,2.0,5.0,23.0,0.28,0.0,0.28,0.28,0.28,0.26,0.06,0.32,0.26,0.32,bahia,Brasileiro,Vinicius Mingotti (bahia)
Vítor Jacaré,BRA,"DF,MF",24,17,7,850.0,9.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,1.3,2.4,27.0,38.0,62.0,0.11,0.0,0.11,0.11,0.11,0.12,0.14,0.26,0.12,0.26,bahia,Brasileiro,Vítor Jacaré (bahia)
Jhoanner Chávez,ECU,"DF,MF",21,10,7,589.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,12.0,17.0,49.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,bahia,Brasileiro,Jhoanner Chávez (bahia)
Matheus Bahia,BRA,"DF,MF",24,12,6,493.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,15.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,bahia,Brasileiro,Matheus Bahia (bahia)
Kayky Chagas,BRA,"FW,MF",20,10,6,410.0,4.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,0.6,2.1,16.0,16.0,33.0,0.44,0.22,0.66,0.44,0.66,0.32,0.14,0.45,0.32,0.45,bahia,Brasileiro,Kayky Chagas (bahia)
Ryan Carlos,BRA,DF,21,9,5,578.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.5,0.6,21.0,42.0,44.0,0.0,0.16,0.16,0.0,0.16,0.01,0.08,0.09,0.01,0.09,bahia,Brasileiro,Ryan Carlos (bahia)
Raul Bicalho,BRA,DF,24,7,4,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,7.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,bahia,Brasileiro,Raul Bicalho (bahia)
Luciano Juba,BRA,"FW,DF",24,10,2,319.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.5,5.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.28,0.16,0.44,0.28,0.44,bahia,Brasileiro,Luciano Juba (bahia)
Arthur Sales,BRA,"FW,MF",21,9,2,290.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.2,4.0,7.0,27.0,0.31,0.0,0.31,0.31,0.31,0.28,0.08,0.37,0.28,0.37,bahia,Brasileiro,Arthur Sales (bahia)
Lucas Mugni,ARG,"MF,FW",31,12,1,282.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,6.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,bahia,Brasileiro,Lucas Mugni (bahia)
Léo Cittadini,BRA,MF,29,6,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,bahia,Brasileiro,Léo Cittadini (bahia)
André,BRA,DF,20,3,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,bahia,Brasileiro,André (bahia)
Danilo Fernandes,BRA,GK,35,1,1,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bahia,Brasileiro,Danilo Fernandes (bahia)
Diego Rosa,BRA,"MF,DF",21,10,0,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,3.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,bahia,Brasileiro,Diego Rosa (bahia)
Danielzinho,BRA,"FW,MF",27,5,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,4.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.27,0.31,0.05,0.31,bahia,Brasileiro,Danielzinho (bahia)
Mateus Claus,BRA,GK,29,1,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bahia,Brasileiro,Mateus Claus (bahia)
Marcos Victor,BRA,DF,21,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bahia,Brasileiro,Marcos Victor (bahia)
Patrick Verhon,BRA,FW,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bahia,Brasileiro,Patrick Verhon (bahia)
Adriel,BRA,GK,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bahia,Brasileiro,Adriel (bahia)
Everton,BRA,MF,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bahia,Brasileiro,Everton (bahia)
Tiago Gomes,BRA,GK,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bahia,Brasileiro,Tiago Gomes (bahia)
Lucas Perri,BRA,GK,25,34,34,3015.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,botafogo,Brasileiro,Lucas Perri (botafogo)
Adryelson,BRA,DF,25,32,32,2726.0,30.3,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,0.3,1.2,2.0,53.0,3.0,0.03,0.03,0.07,0.03,0.07,0.03,0.01,0.04,0.03,0.04,botafogo,Brasileiro,Adryelson (botafogo)
Víctor Cuesta,ARG,DF,35,31,31,2790.0,31.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,2.0,1.8,0.7,2.5,8.0,95.0,6.0,0.03,0.03,0.06,0.03,0.06,0.07,0.02,0.09,0.06,0.08,botafogo,Brasileiro,Víctor Cuesta (botafogo)
Marlon Freitas,BRA,MF,28,32,29,2620.0,29.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.8,1.8,1.7,3.5,27.0,178.0,16.0,0.03,0.03,0.07,0.03,0.07,0.06,0.06,0.12,0.06,0.12,botafogo,Brasileiro,Marlon Freitas (botafogo)
Carlos Eduardo,BRA,MF,34,31,29,2499.0,27.8,6.0,5.0,11.0,6.0,0.0,0.0,5.0,0.0,4.9,4.9,5.7,10.6,28.0,146.0,82.0,0.22,0.18,0.4,0.22,0.4,0.18,0.2,0.38,0.18,0.38,botafogo,Brasileiro,Carlos Eduardo (botafogo)
